epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1441,3.43193,6.42626,2.33158,0.00286,0.85714,0.21981,0.0515,2.77147,6.79927,2.19893,8e-05,8e-05,8e-05
2,87.6189,2.83048,5.69631,1.96533,0.00333,1,0.43217,0.10048,2.71648,6.86149,2.63751,0.000178218,0.000178218,0.000178218
3,142.569,2.56811,3.98632,1.6441,0.00333,1,0.40522,0.12375,2.80665,6.8526,3.23282,0.000274456,0.000274456,0.000274456
4,196.845,2.35563,4.17,1.63744,0.00333,1,0.17471,0.04101,2.94869,7.08306,2.5044,0.000368714,0.000368714,0.000368714
5,246.922,2.77537,4.16821,1.70165,0.00333,1,0.3069,0.08682,2.0777,6.59843,1.85596,0.000460992,0.000460992,0.000460992
6,297.102,2.30534,3.66153,1.49137,0.00333,1,0.31352,0.07237,2.43992,6.788,2.29269,0.00055129,0.00055129,0.00055129
7,345.337,2.34383,4.06595,1.54451,0.00238,0.71429,0.18784,0.03854,3.69121,8.95636,3.07504,0.000639608,0.000639608,0.000639608
8,387.178,2.46661,4.4822,1.64573,0.00286,0.85714,0.15414,0.02347,3.23918,9.08028,1.87749,0.000725946,0.000725946,0.000725946
9,431.941,2.29092,3.6371,1.57738,0.00238,0.71429,0.33667,0.10877,3.11789,9.7754,2.71897,0.000810304,0.000810304,0.000810304
10,470.247,2.49484,3.8312,1.62343,0.00333,1,0.48931,0.10232,3.38977,8.06808,3.93367,0.000892682,0.000892682,0.000892682
11,506.846,2.4439,3.70162,1.50875,0.1876,0.28571,0.20592,0.04333,3.20509,7.55741,2.53538,0.00097308,0.00097308,0.00097308
12,543.678,2.30493,3.31714,1.47376,0.43219,0.57143,0.56321,0.0923,2.76986,6.11081,2.73097,0.0010515,0.0010515,0.0010515
13,584.821,2.20764,3.49858,1.48405,0.00796,0.85714,0.14963,0.04068,2.56121,6.60276,2.30427,0.00112794,0.00112794,0.00112794
